Pricing Date,CPALL-Share Price (Monthly)(?),TU-Share Price (Monthly)(?),WHA-Share Price (Monthly)(?),TTB-Share Price (Monthly)(?),KBANK-Share Price (Monthly)(?),SCB-Share Price (Monthly)(?),BDMS-Share Price (Monthly)(?),AOT-Share Price (Monthly)(?),GULF-Share Price (Monthly)(?),BH-Share Price (Monthly)(?),KTB-Share Price (Monthly)(?),GPSC-Share Price (Monthly)(?),INTUCH-Share Price (Monthly)(?),EA-Share Price (Monthly)(?),KTC-Share Price (Monthly)(?),OSP-Share Price (Monthly)(?),PTT-Share Price (Monthly)(?),PTTEP-Share Price (Monthly)(?),TISCO-Share Price (Monthly)(?),WHAUP-Share Price (Monthly)(?),TOP-Share Price (Monthly)(?),TRUE-Share Price (Monthly)(?),ADVANC-Share Price (Monthly)(?),BANPU-Share Price (Monthly)(?),AWC-Share Price (Monthly)(?),COM7-Share Price (Monthly)(?),BTS-Share Price (Monthly)(?),EGCO-Share Price (Monthly)(?),CENTEL-Share Price (Monthly)(?),GLOBAL-Share Price (Monthly)(?),HMPRO-Share Price (Monthly)(?),LH-Share Price (Monthly)(?),SISB-Share Price (Monthly)(?),TIDLOR-Share Price (Monthly)(?),BA-Share Price (Monthly)(?),BCP-Share Price (Monthly)(?),AAV-Share Price (Monthly)(?),AP-Share Price (Monthly)(?),TTW-Share Price (Monthly)(?),BAM-Share Price (Monthly)(?),BBL-Share Price (Monthly)(?),BTG-Share Price (Monthly)(?),CBG-Share Price (Monthly)(?),CCET-Share Price (Monthly)(?),ICHI-Share Price (Monthly)(?),SAPPE-Share Price (Monthly)(?),SAWAD-Share Price (Monthly)(?),SIRI-Share Price (Monthly)(?),SPALI-Share Price (Monthly)(?),SJWD-Share Price (Monthly)(?),PTTGC-Share Price (Monthly)(?),KKP-Share Price (Monthly)(?),BEM-Share Price (Monthly)(?)
2-11-2025,50.75,11.50,4.64,1.94,158.00,125.50,22.90,54.75,56.50,175.50,23.30,25.75,98.50,2.58,51.50,14.90,30.50,126.50,98.50,3.60,24.40,12.60,284.00,4.66,3.00,21.40,6.15,99.50,28.00,9.15,8.45,4.32,26.75,17.60,19.40,36.25,2.10,7.95,8.90,6.00,153.00,17.60,71.50,8.10,12.90,52.50,37.25,1.60,15.70,7.75,20.40,51.00,6.65
1-31-2025,52.00,12.00,4.76,1.98,160.50,125.00,23.50,55.25,57.75,180.00,22.90,30.75,97.25,3.10,50.75,16.20,31.50,127.50,99.50,3.88,26.00,11.70,284.00,5.00,3.16,22.00,6.15,111.50,28.25,10.00,8.75,4.60,25.50,16.60,18.70,34.50,2.12,7.95,8.95,5.75,154.00,17.40,70.50,7.65,12.70,55.00,37.00,1.71,16.80,8.40,21.50,52.00,6.75
12-30-2024,55.75,13.00,5.50,1.86,155.50,117.50,24.50,59.50,59.50,199.50,21.00,38.25,97.00,3.96,50.00,20.80,31.75,119.00,98.50,4.82,28.25,11.10,287.00,6.00,3.52,26.25,6.10,117.00,34.50,13.90,9.40,5.05,30.00,17.00,22.40,36.00,2.76,8.10,9.10,6.10,151.00,18.80,78.50,10.10,14.70,67.75,41.75,1.80,18.20,10.70,24.40,52.50,7.10
11-29-2024,61.25,13.70,5.70,1.76,150.50,114.50,25.25,60.75,60.50,208.00,20.00,43.50,95.00,6.35,46.75,21.60,32.25,127.50,96.50,4.74,37.75,11.10,285.00,5.70,3.56,26.50,5.55,119.00,37.75,16.00,9.45,5.40,31.25,17.80,23.50,30.75,2.82,8.65,9.00,6.75,149.50,19.60,76.75,8.30,14.80,79.50,40.75,1.80,19.00,11.70,25.25,50.00,7.30
10-31-2024,63.25,15.00,5.85,1.78,146.50,113.50,27.50,61.25,66.50,272.00,20.50,42.25,107.00,7.90,47.75,20.70,33.50,126.50,96.50,5.40,41.00,12.30,275.00,6.25,3.70,28.00,4.96,120.00,36.00,16.10,9.55,5.80,34.50,17.70,25.50,34.25,2.94,9.55,9.05,8.30,147.00,21.20,79.75,5.30,15.70,67.75,42.75,1.83,19.60,11.80,26.00,54.50,7.90
9-30-2024,65.50,14.60,5.45,1.97,150.00,109.00,30.00,64.00,57.00,269.00,20.60,48.00,92.50,8.95,48.75,23.10,34.00,131.00,96.50,4.68,51.25,11.20,260.00,7.05,3.78,23.90,4.50,123.50,40.75,15.90,10.40,6.40,35.00,18.40,24.70,37.25,2.76,10.00,9.35,9.65,150.50,22.10,79.00,3.72,16.30,70.25,43.25,1.91,20.60,11.60,30.00,51.00,8.15
8-30-2024,60.50,15.70,5.30,1.85,143.00,107.00,27.75,59.75,50.75,245.00,18.30,40.25,82.50,6.60,41.75,22.40,33.50,141.50,95.50,4.00,53.00,10.30,247.00,5.45,3.32,24.50,4.24,107.00,35.00,14.80,9.05,5.65,30.00,16.50,22.30,37.25,2.40,8.45,9.20,7.55,141.00,23.90,68.75,3.88,15.20,70.50,38.00,1.71,17.60,10.60,25.00,46.00,7.65
7-31-2024,58.25,14.50,5.25,1.69,131.50,103.00,26.25,56.50,47.75,246.00,18.10,39.75,82.25,3.60,39.00,24.10,32.00,147.00,92.50,4.16,50.50,9.25,234.00,4.96,3.64,20.40,4.30,98.00,41.25,15.40,9.10,5.75,32.50,15.60,21.00,31.50,2.30,8.20,8.85,6.75,137.00,23.60,66.00,3.72,16.10,91.50,32.50,1.68,16.90,12.70,27.25,38.50,7.80
6-28-2024,55.00,14.90,4.84,1.71,125.50,103.00,26.75,57.75,40.50,247.00,17.10,39.75,71.50,11.20,40.75,23.00,32.50,152.00,95.50,4.16,53.00,8.75,209.00,4.92,3.48,18.60,4.48,103.50,39.75,15.00,9.25,5.90,36.50,18.50,21.00,37.50,2.02,7.95,8.85,7.50,130.50,22.40,66.50,3.92,17.40,101.50,34.50,1.67,18.00,12.50,30.50,46.50,7.65
5-31-2024,57.50,14.90,5.45,1.69,131.00,106.00,27.00,65.00,40.50,242.00,17.20,47.00,67.25,22.90,45.75,22.80,32.75,154.00,97.75,3.80,51.75,8.60,203.00,5.40,3.80,17.70,4.80,104.00,41.00,16.60,9.30,6.60,36.50,19.90,20.00,38.25,2.26,9.20,9.10,8.55,136.50,24.90,70.25,3.58,17.00,104.00,41.50,1.59,18.50,14.40,34.75,51.00,7.85
